Interval,% Processor Time,Disk Reads/sec,Disk Writes/sec,Log Bytes Flushed/sec
10/28/2017 2:36:56 PM,0,0,0,0
10/28/2017 2:36:57 PM,11.70168,0,5.866236,0
10/28/2017 2:36:58 PM,1.882715,0,0,0
10/28/2017 2:36:59 PM,16.91551,0,2.951574,0
10/28/2017 2:37:00 PM,4.837492,0,1.983451,0
10/28/2017 2:37:01 PM,19.9996,2.953127,5.905786,0
10/28/2017 2:37:02 PM,2.531032,0,0.9827857,0
10/28/2017 2:37:03 PM,5.531143,0,15.71535,0
10/28/2017 2:37:04 PM,0.251418,0,0,0
10/28/2017 2:37:05 PM,19.98649,0,0,0
10/28/2017 2:37:06 PM,0.01733607,0,0,0
10/28/2017 2:37:07 PM,20.75135,0,5.881306,0
10/28/2017 2:37:08 PM,32.31299,0.9887573,1.978148,0
10/28/2017 2:37:09 PM,33.07241,0,2.95605,0
10/28/2017 2:37:10 PM,27.04505,0,0,0
10/28/2017 2:37:11 PM,40.12511,2.944173,9.812621,0
10/28/2017 2:37:12 PM,27.68424,0,4.92747,0
10/28/2017 2:37:13 PM,33.84117,0,4.926218,0
10/28/2017 2:37:14 PM,30.29553,0,2.974669,0
10/28/2017 2:37:15 PM,8.108565,0,1.993215,0
10/28/2017 2:37:16 PM,4.164897,0,1.978269,0
10/28/2017 2:37:17 PM,2.48,12.77743,7.863426,0
10/28/2017 2:37:18 PM,0.1586942,0.9831115,0,0
10/28/2017 2:37:19 PM,0.6078822,0,16.90437,0
10/28/2017 2:37:20 PM,0.9369394,0,1.96561,0
10/28/2017 2:37:21 PM,12.5995,2.908119,6.785538,0
10/28/2017 2:37:22 PM,4.409097,0,2.973035,0
10/28/2017 2:37:23 PM,1.571529,0,1.968126,0
10/28/2017 2:37:24 PM,4.717307,0,1.967675,0
10/28/2017 2:37:25 PM,10.36545,0,1.995138,0
10/28/2017 2:37:26 PM,1.799151,0.9897238,0,0
10/28/2017 2:37:27 PM,1.567886,0,3.937071,0
10/28/2017 2:37:29 PM,1.552236,0,6.890677,0
10/28/2017 2:37:30 PM,1.75876,0,1.980469,0
10/28/2017 2:37:31 PM,0.07857943,0,0,0
10/28/2017 2:37:32 PM,6.907834,1.969771,5.909867,0
10/28/2017 2:37:33 PM,86.92316,2.949457,5.899056,0
10/28/2017 2:37:34 PM,83.84608,25.50944,67.61659,1270478
10/28/2017 2:37:35 PM,20.86888,1.962895,78.60264,241505.4
10/28/2017 2:37:36 PM,0,0,14.92151,0
10/28/2017 2:37:37 PM,5.942443,3.979417,9.94753,353977.8
10/28/2017 2:37:38 PM,32.88346,0,2.959352,0
10/28/2017 2:37:39 PM,44.68042,0,1.965253,0
10/28/2017 2:37:40 PM,0,0,1.978892,0
10/28/2017 2:37:41 PM,0.602083,0,1.988137,0
10/28/2017 2:37:42 PM,0,3.947044,0,0
